,node,cluster,location,description,followers,name,created_at,likes,statuses_count
2624,YMBDY10,0,Cookley,Enjoys Folk Music & Festivals  Travel  Eating  Good Company  Marvel films & listening to The Archers!,176,Yolande Biggs,16-Apr-2009 (14:24:24.000000),10994,5779
2625,bizvidya,0,New Delhi  India,Helping Entrepreneurs Win ALL THE TIME! #Business #Coach #Delhi #India,2007,Biz Vidya,23-Oct-2009 (19:53:13.000000),75,1463
2626,SMAGlendale,0,glendale  california ,The Social Media Agents - Impacting one business at a time by - Reaching - Amplifying - Connecting - Engaging - Selling - Drive more business to YOU Today!,62,Social Glendale,17-Mar-2017 (07:27:29.000000),19,1842
2627,BlessPlease,0,United States,None,381,PleaseBlessUs,11-Jul-2019 (03:18:59.000000),70798,30292
2628,shubhamhackz,0,India,Dart 😍 Flutter,369,Shubham Soni,06-Feb-2014 (14:18:01.000000),900,973
2629,fionabannon1,0,None,scphn   No79 agency | digital  sport - golf  wife to a once pro wakeboarder  .... mum x2 #busy,48,Fiona Stewart,20-Oct-2009 (17:40:37.000000),206,72
2630,AlwaysYellow4,0,None,Namibian blogger & creator | Redbubble artist & online shop | Inspiring  Positive  Kind | http://www.alwaysyellow.com,5,Always Yellow,02-Nov-2020 (06:24:13.000000),0,62
2631,iamloopsy,0,United States,Dont Try to figure me out. im not ur average human being. some say im an Enigma.,581,Amyskury,10-Aug-2011 (10:20:18.000000),2091,3776
2632,FobKanker,1,None,Official account of FOB  KankerM/o I&B  Govt. of India.,40,FOB  Kanker,16-May-2020 (07:42:43.000000),352,25056
2633,Ehtasham199,0,Bhakkar  Pakistan,Life is too short for searching new bios on Google...Nature and Politics lover And a chota mota memester 🙁➡️😁,18,Ehtasham.,12-Jun-2018 (10:49:47.000000),76,20
2634,ronnie2029,0,None,total twitter addict follow me if you love trash tweets about football  reality tv and shows in general fair warning have that mute button ready VOTE 💙 NOV 3rd,455,ronnie,30-Jun-2015 (09:41:32.000000),93859,96638
2635,brghtwnbl,0,𝑏𝑙 𝑠𝑡𝑎𝑛 ,Oust the 🐢,1326,Juan,31-Mar-2020 (07:34:40.000000),14451,8967
2636,lakika_bee,0,None,None,57,Lakika 🌺,19-Sep-2019 (22:35:06.000000),365,191
2637,GourleyRev,0,None,Born way back in the last century and had the temerity to vote Remain  love Europe  different cultures  especially music and food,32,Rev Malcolm Gourley,09-Feb-2020 (12:59:30.000000),12371,12775
2638,Ali_Haikugirl,0,Bristol  UK,Bristol-based Brit. Japanophile. Health. Wellness. Body Positivity. Vegan foodie. Yoga. Running. Dance. Alcohol free.🇯🇵💃🎶🏃‍♀️🏋️‍♀️🧘‍♀️🌱🍹💜,1469,Ali Muskett,11-Sep-2009 (14:22:09.000000),126,8388
2639,Freakshow_F_R_,0,None,Snap: freakshowfr21Straight/Bi curiousLooking for funSwitch (never found a proper dom girl)*I don't pay for porn I sell it*Help me improve my acc?🥺,19,Mr freak,02-Nov-2020 (22:16:40.000000),47,41
2640,ParisAeroport,0,Paris  Ile-de-France,Toute l'info sur les aéroports de #Paris-#Orly (ORY) & Paris-Charles de Gaulle (#CDG). Your real time information feed about Orly & CDG airports. #ParisVousAime,61355,Paris Aéroport,20-Jan-2010 (11:19:58.000000),2848,21979
2641,CeciliaEgan1,1,London UK 🇬🇧 & Ireland 🇮🇪 ,🦋   I go where the wind blows. May the wind blow kindly for you may it forever be your friend. 🦋 Photography. Art. Photos my own.No DM. No Groups. No Porn.,15259,Cecilia Egan,19-Sep-2014 (10:09:56.000000),412195,565721
2642,openviewforever,0,Johanneburg,Openview is South Africa’s first free HD satellite TV service  that offer endless  exciting local and international entertainment.,2008,Openview,13-Sep-2018 (12:40:08.000000),312,1736
2643,jesuisbunnyy,0,None,Karabakh is Azerbaijan 🇦🇿,138,Ulviyya,19-Oct-2020 (07:48:28.000000),482,193
2644,alinuriyev3,0,None,Karabakh is AZERBAİJAN !!! 🇦🇿🇦🇿🇦🇿,186,Ali Nuriyev,18-Oct-2014 (11:20:43.000000),953,446
2645,RobynAngel,1,Avondale  Arizona,Scorpio  Incarnated Elven Mystic Mer-Angel Priestess. Grey Jedi Healer  #TheResistance #fucktrump WolfwalkerWitch Bodhisattva of the Earth!🐾🌸💐🌷🍀🌹🌻🌺🌼,2547,Mystic MerAngel Priestess Lily/Arcana🔯🙏🌊♏🎼🎤🎶,19-Aug-2010 (07:54:21.000000),338659,45678
2646,DrPongs,0,None,None,81,Dr. Ulrich Pongs,28-Nov-2017 (18:07:03.000000),15684,15841
2647,JBarco98,0,None,Algo parecido a un fotógrafo @LTinieblas @LaMedusaLP,251,Javier Barco,16-Jul-2013 (16:04:44.000000),18507,10623
2648,kmonstage,0,earth-Boston/ emerson college ,HOTELIER-event professional/of Irish & Greek origins🏺/adopted Metera-Athens  GR🏛 / Opinions are My Own/ I LAUGH alot /TRAVEL🌏/PLAY guitar & always IMAGINE!,763,Kevin M. McNally,06-Jan-2011 (22:05:48.000000),7224,1035
2649,adellarumpella,0,wisconsin,Middle America Liberal. Proudly supporting #44 Obama #ResistThis criminal is leaving for good.,2488,jody delwiche 🆘,11-Feb-2012 (22:48:37.000000),19196,60660
2650,hangingby,1,You're not here,not wired for this world | #ActuallyAutistic ▪ #ChronicPainSufferer  | ¿ Filipendulous,165,Jess,12-Sep-2015 (10:52:56.000000),110602,35044
2651,_morningstarr_,0,None,ᴊᴜꜱᴛ ᴛʜɪɴᴋ ᴏꜰ ᴍᴇ ᴀꜱ ʏᴏᴜʀ ɢᴜᴀʀᴅɪᴀɴ ᴅᴇᴠɪʟ‼️😈🖤🥀,289,Ishitta.,21-Jun-2019 (18:28:01.000000),13591,12601
2652,Jituman61401482,1,None,BJP,35,Jitumani kalita BJP,06-Aug-2019 (17:04:15.000000),5279,4184
2653,MDfineart,0,southampton,Artist and illustrator  UK based. Digital painting and oil painting.#artist #illustrator #creative #painting #art #Hampshire,15853,Martin Davey,22-May-2013 (08:08:27.000000),716,500445
2654,visitingFrance,0,Paris  France,‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎#فرنسا_بعيون_عربية فريق يهتم بالوعي السياحي والثقافي في ‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎#فرنسا ‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎‎ ‎,8513,🇫🇷 فرنسا بعيون عربية🗼,03-Aug-2017 (07:30:18.000000),4688,25256
2655,vowtoimprove,0,None,Self improvement blog - Story teller - Keynote speaker 🎙,789,Vow to improve,24-Nov-2014 (23:57:14.000000),1890,7645
2656,StersSci,0,France,Agency dedicated to scientific communication and graphic design-Line H. & Dr. Sarah HB-To make science not only fun but also stylish & attractive,93,sci.sters.editions,15-Nov-2019 (16:49:28.000000),176,152
2657,StefanoSMagi,1,Toscana  🇮🇹   ,Sport Skydiving. Animals. Fiorentina ⚽️Italian man with a little 🇬🇧 blood in my veins.Born the 7th of November in Tuscany. • No Dm •,6653,mondo diverso,02-Aug-2019 (09:18:15.000000),12259,10737
2658,allanschlegel1,0,Plainfield  IL,None,203,allan schlegel,28-Mar-2020 (05:18:13.000000),18347,7293
2659,OddManO18307328,1,Canada,66 years I have been planted on earth and still cannot make any sense out of you people!  Don't call me what your mother raised! Pic: 12 years ago granddaughter,85,Odd Man Out,13-Sep-2020 (22:07:17.000000),2832,3713
2660,chrisderrick1,0,Hertfordshire UK,First Western novel  The Tainted Dollar  published 2014. Trainee guitar player as of Feb 2019 (never too late!) Best place in the world - SW states of the USA.,32575,Chris G. Derrick,19-Oct-2011 (13:02:00.000000),18604,479464
2661,bernarchevalier,0,France,IT pro @Microsoft  geek  curious  speed lover  astro fan  gamer and much more: alert help share learn. Views are my own #stayhome #StrongerTogether,296,Bernard Chevalier,12-Jul-2015 (10:19:11.000000),13019,34664
2662,TrilokS84706546,0,None,None,9,Trilok Singh,10-Aug-2019 (09:25:53.000000),27089,27950
2663,sebvoyages,0,Paris et Bucarest ,Head of a Shared Service Centre   #LGBT 🏳️‍🌈 anti #catholibans #Conphobe  #traindenuit #politique #voyages #airfrance #skypteam #restaurants #Queyras #abries,669,seb voyages 🌈,07-May-2012 (16:01:13.000000),60425,28594
2664,gbemi_j,0,Lagos  Nigeria,Founder  The Corkcierge Co. @thecorkciergeco Creative Head  O'Eclat Designs | Made in Nigeria @oeclatEntrepreneur,296,Gbemi Johnson,10-Apr-2010 (20:53:44.000000),31,2277
2665,IRGRL,0,New Jersey  USA,CEO RR Gaming  @RealRebelGaming  @EA_Dice Friend  Partnered Twitch Streamer  Former Discord Partner  Whisky  Tater Tots   ︻╦╤─   ❤ @REBL_Valhalla,6565,😷Wearing My Mask Steph😷,08-Sep-2008 (01:47:27.000000),33400,145098
2666,NerenTory,0,None,Redbubble Merch Seller,12,NerenTory,30-Oct-2020 (03:59:13.000000),4,135
2667,Crimson_Dreamer,0,Abilene  TX,Queer/Pan/NB/. They/Them. Illustrator  Graphic Designer  Illustrator  Artist. I take commissions on a case-by-case basis.,48,Subtle_As_A_Neon_Unicorn,23-Mar-2010 (21:17:34.000000),867,1133
2668,ConneeB,0,Arroyo Grande  CA,She has fire in her soul and grace in her heart... #fullofgrace #ridehigh #wareagle #mythoughts,139,Connie Blankenburg,19-Mar-2009 (15:36:21.000000),3597,5297
2669,stella105eric,0,None,None,676,stella casillas,28-Oct-2010 (21:05:20.000000),56266,37912
2670,JamesVolfson,0,Dallas  TX,Liberal Dem,586,James Volfson,10-Aug-2016 (18:26:09.000000),166998,122066
2671,ava_unity,0,None,Doctor  Wife  Mother of 3 & a Human with Rights. Inspired by Greta Thunberg & World beyond War. Humanity Nature Technology🎗✌🏼🦋Loyalty  Honesty&Transparency,18,Unity Ava,27-Oct-2020 (13:55:34.000000),1116,1166
2672,SatyannasenaATP,1,None,Jai Satyanna,194,Satyanna Sena Anantapur Dist,14-May-2020 (09:59:46.000000),5621,1943
2673,bobwager2,0,None,Tired of Trump and the corrupt GOP,279,bob wager,08-Oct-2012 (13:41:35.000000),9101,30368
2674,BABAIGH33640520,1,None,Bhartiya janta party 🚩🚩 #Vande_mataram🇮🇳🇮🇳 #Jai_shree_ram🚩🚩,25,BABAI GHOSH,21-Jul-2020 (06:57:52.000000),1309,4401
2675,BBishnupur,1,Bishnupur ,BJP BISHNUPUR ORG DISTRICT I.T CELL IN CHARGE,1011,Bjp Bishnupur,15-Jul-2018 (16:57:42.000000),8867,9905
2676,AjoySah39234511,1,Coochbehar.(W.B.),I am hindu.,116,Ajoy Saha,10-Dec-2018 (08:46:56.000000),908,1318
2677,moocowsue,0,None,None,160,Curly sue,06-Mar-2013 (00:53:26.000000),74734,58942
2678,jerseygirl0656,0,Lambertville  NJ,Former Republican   blame TrumpNow... No Party Affiliation...I was a lifelong Registered Republican   until Trump took office.  This Jersey girl knows better!,322,Is he gone yet?🌊#EspeciallyFemale,11-Jan-2011 (04:49:01.000000),13034,19127
2679,CosmicWitz,0,South Carolina  USA,CT Blue in SC Accountant Musician WriterArtist. UNemployed. Dog lover. Depressed insomniac. Child of 60's.,1437,Chris Witz,07-Aug-2015 (03:49:37.000000),181944,130771
2680,6cats4us,0,Ohio  USA,None,180,Norma Cooper,25-Jul-2009 (00:37:05.000000),96298,41968
2681,gkielec,0,Canada,Former reporter  daily wire editor in transition. Seeker of truth and justice at home and abroad. Non-partisan political junkie.,1614,Greg Kielec,17-Dec-2010 (22:55:58.000000),34848,152476
2682,219Bjp,1,None,Official Twitter ID of BJP 219-DANTAN VIDHANSABHA,59,BJP 219-DANTAN AC,04-Sep-2020 (02:19:12.000000),14,204
2683,GourSahaBJP,1,West Bengal  India,BJP IT & Social Media Cell Convenor ofCooch Behar Dakshin Assembly,148,Gour Saha,28-Aug-2020 (05:52:28.000000),213,4829
2684,ProsadBarman,1,None,Tiadaha.Dinhata.Cob,29,PROSAD BARMAN,27-May-2015 (15:27:34.000000),11,972
2685,Bettiah2kishan1,1,None,None,18,Bettiah2kishanganj Bjp,16-Oct-2020 (03:25:53.000000),4651,4033
2686,LizOT4U,0,None,🌊🧢🌊Dr.Occupational Therapy Adjunct Prof  School-based OT  wife  mother  Advocate #DisabilityMatters  #BLM #LGBTQ+ #WomenRights  RIPRGB  #Resist Pls Follow me,418,🌊Liz she/her #BidenHarris2020 #Resist #RGB🧢,20-Oct-2016 (03:31:54.000000),7684,8348
2687,rose_amelie,0,San Esteban  Chile,History  books  movies  indie music  soundtrack  series  happy  honest and proud nerd. #Apruebo,182,Rose Amelie,10-Feb-2010 (21:59:23.000000),13926,11777
2688,223Bjp,1,None,Official Twitter ID of 223 Keshiary Vidhansabha.,12,BJP 223-KESHIARY AC,22-Sep-2020 (05:48:21.000000),5,104
2689,Ranjeet20154820,1,हिंदुस्तान,भारत माता कि जय🚩🚩राष्ट्रीय स्वयसेवक संग🚩हिंदुस्तान का सामान्य नागरिकराष्ट्रहित सर्वोपरि 🚩🚩🚩,820,हिंदू रणजीत सिंह,07-Nov-2019 (10:37:53.000000),76158,11487
2690,gwessie_t,0,MadCentral ;-),Lover of reading novels with a happy ending from nocturne supernatural to fluffy and love a giggle. Friend of LGBTQ+ Community 💜🦄💜 #VoteBlue #SepsisAwareness,1215,GwessieT,15-May-2016 (10:58:47.000000),148154,30930
2691,nolietees,0,Charlotte  NC,Mom to 2 dogs & 2 cats/Animal Rescuer/Republican but Trump criticActivist-using my t-shirts as my voice,21,No Lie Tees,03-Sep-2020 (15:02:32.000000),1182,1169
2692,EndgameShea,0,Shealand ,#Shea account in Twitter!Follow us in our IG account for more content❤️Shaun:Lea makes me more ⭐Lea: you make me more Shaun 💌,105,Shea.endgame💌 Shaun and Lea Forever💕,30-Sep-2020 (12:01:47.000000),1451,957
2693,KSponheim,0,None,Wife  mother  grandmother and strong #resister.,193,Karen Sponheim,26-May-2011 (02:50:12.000000),61790,9462
2694,225Bjp,1,None,Official Twitter ID for 225 Narayangarh Vidhansabha,3,BJP 225-NARAYANGARH AC,23-Sep-2020 (07:14:54.000000),9,112
2695,buckleyswartz,0,USA,Having fun with words,249,Rita Swartz,16-Apr-2009 (15:33:18.000000),37082,44810
2696,WizardBear1,0,Hawaii  USA,Liberal. Will NOT vote GOP. They suppress voters  degrade women  minorities LGBTQ  and only support wealthy. No lists. 🌊 #Resist #VoteLikeBlackWomen,866,Wizard Bear,26-Jan-2013 (23:10:16.000000),90213,53838
2697,TARUNxBJP,1,None,Doing Something For Society $ Motherland,26,Tarun kumar Singh,09-Jul-2020 (17:30:11.000000),1194,2603
2698,JohnBdxb724,0,None,None,102,John Boyd,27-Jan-2017 (16:07:51.000000),17058,1096
2699,TraceFlores_,0,California,Human. Values family  friends  a positive outlook mixed with a sarcastic flare. Escapes to redwoods  waterfalls  truck bed camping and highly-fictional reading.,213,Trace Flores,25-Mar-2020 (15:28:50.000000),33361,7837
2700,Abhishe62610404,0,None,😈,3,Abhishek,30-Oct-2020 (03:28:07.000000),634,610
2701,Rekha19329896,0,None,xyz,14,Rekha,22-Oct-2020 (04:43:59.000000),2888,3041
2702,Fahaj63734381,1,None,Optimist Future,0,Fahaj,01-Nov-2020 (03:59:26.000000),339,436
2703,Kashyap23723264,1,None,None,23,Kashyap Raj,16-Oct-2020 (03:33:16.000000),4806,6186
2704,subhadipbjym,0,Kalna,BJYM @bardhmanpurbabjp District President,552,Subhadip Mapder,26-Jan-2019 (12:17:03.000000),5605,6763
2705,SweetyR04103545,1,None,None,12,Sweety Raj,26-Oct-2020 (07:13:48.000000),2852,3499
2706,Avinas16964882,1,None,😊,20,Avinas,16-Oct-2020 (04:05:02.000000),6970,8036
2707,Ajaykum58808665,1,None,hi,2,nitishbihar,29-Oct-2020 (13:16:31.000000),635,337
2708,BJPMONUKUMARVI1,1,None,None,2,BJP MONU KUMAR VIKRAM,19-Oct-2020 (11:01:30.000000),900,663
2709,JerseyLynda,0,United States,Dreaming of my country without #SocioPotus  Dream Team Angels Animal Rescue  USMC family  futbol fan; Pack out what you pack in  leave only footprints. She/Her,777,Lynda Nairn,30-Oct-2012 (19:57:19.000000),74962,41200
2710,KaasmikaRayan,1,None,None,75,Kaasmika,12-Sep-2020 (15:00:30.000000),1733,901
2711,ARABIND35691835,1,jhilu  purba barddhaman,bharat mata ki jai   Bjp jindabad,69,ARABINDA GHOSH,26-Jun-2020 (08:47:55.000000),139,1172
2712,DIPANKARHC1994,1,Bardhaman  India,BJP supporteraddress : Booth- 129; ZP-17; Assembly-263;  Parliament- 39,78,DIPANKAR HAZRA CHOUDHURY,07-May-2019 (06:50:23.000000),125,4615
2713,AryaTanni,1,None,None,0,Tanni Arya,02-Nov-2020 (03:16:50.000000),29,51
2714,scardboy,0,None,None,39,Michael McNab,01-Jun-2009 (16:00:55.000000),1988,11418
2715,BeingHumanInc,0,Medicine Hat  Alberta,Medicine Hat company assisting those that are unemployed gain meaningful employment.  #MedHat,787,Being Human Services ~ Employment Agency,09-Jan-2015 (22:33:32.000000),8578,2850
2716,CoronaBot20,0,None,I was built to Favorite  Retweet  and Follow every post with #Corona  #Covid19  and #Coronavirus. Please stay safe  and enjoy the news.,138,CoronaBot,17-Apr-2020 (20:52:27.000000),59414,59075
2717,SumitSi06544428,1,None,None,28,Gautam Singh,16-Oct-2020 (03:10:40.000000),6540,5688
2718,KukarMonu,1,None,None,6,MONU KUKAR VIKRAM,19-Oct-2020 (10:58:34.000000),402,922
2719,jai_krishna7,1,None,None,2048,jai shree krishna 7,13-Aug-2020 (05:37:20.000000),33047,27484
2720,ProvatBarman8,1,None,vill+p.o=jarabari P.s=dinhata dist=coochbehar pin=736135,5,Provat Barman,16-Sep-2020 (18:26:07.000000),10,705
2721,Sharleesmad,0,The Emerald City Go Seahawks!,I am an Empath🌺I do feel your soul🌺 Daughter of  a Holocaust survivor.i am a widow   a  proud Jew🔯 proud democrat. love in my ❤️ #joeBiden #resist,8763,stop in for a spell...beguiled witch of the west,13-Jan-2015 (11:36:10.000000),2510,46058
2722,freedomfan255,0,None,Average citizen who has a problem with authoritarianism. All in for the Constitution  environment  science  animal welfare  democracy  the Flag  & rule of law.,408,FreedomFan,28-Jul-2009 (02:59:05.000000),156281,72354
2723,RadhagobindaMo7,1,None,🙏জয় জয় শ্রী রাম🙏,54,Radhagobinda Mondal,04-Oct-2020 (04:22:44.000000),2676,856
2724,carmenmom1209,0,None,None,15,Vote2020,13-Dec-2012 (18:05:49.000000),520,744
2725,Shubham29227989,1,None,None,0,Shubham Kumar,19-Oct-2020 (10:26:58.000000),725,767
2726,cwboute,0,None,None,20,CBoute,30-Sep-2020 (16:03:41.000000),5014,5751
2727,Rashmik26015191,1,None,I AM SINGLE READY TO MINGLE,9,Rashmika,26-Oct-2020 (08:59:03.000000),1149,1296
2728,Sudipta08839565,1,None,Bharatiya Janata party,46,Sudipta Das,08-Aug-2020 (12:25:11.000000),841,1056
2729,SushmaBhatnag18,1,None,None,358,Sushma Bhatnagar,30-Aug-2020 (12:19:58.000000),5042,3876
2730,surajit44098020,1,None,Hi I surajit ghosh,5,surajit ghosh,28-Aug-2020 (11:39:04.000000),0,294
2731,Swati45101378,1,None,bjp supporter,2,Swati,25-Oct-2020 (13:23:42.000000),1268,1431
2732,bjp_bankim,1,Kaliganj  Nadia  West Bengal,IT Co-Convenor of Kaliganj Block  Nadia  West Bengal.,40,Bankim Halder,24-Feb-2014 (08:22:35.000000),100,1334
2733,JanieEv21557610,0,None,Am lestwins addict  have 3 doggies  doggie mom  happily married.  love biden harris,14,Janie Evans,15-Oct-2020 (23:42:28.000000),47,4415
2734,JustFnGaPeachy1,0,None,Born and raised in the great state Ga!,83,JustGaPeachy,17-May-2019 (15:15:47.000000),14351,7488
2735,kelseasgr8,0,Blue America,#BidenHarrisToSaveAmerica Nancy Pelosi is the badass trump pretends to be. I’ve always believed in Kamala. Thanks Joe.,1683,Dream Team 2020 #BidenHarris2020,03-Nov-2016 (20:37:27.000000),404000,173652
2736,5Explorer,0,None,None,437,Eve Thorne,16-Feb-2017 (00:10:01.000000),50489,44420
2737,MadhabG21972112,1,None,None,4,Madhab Ghosh,16-Oct-2020 (21:10:17.000000),5,552
2738,Subhamdeep11,1,None,NAIHATI BIDHANSABHA IT-CO CONVENER B.J.PBHARAT MATA   KI JAY,496,Subhamdeep,01-Mar-2020 (08:48:33.000000),8017,9185
2739,BijanBa99517338,1,West Bengal  India,🚩জয় শ্রী রাম 🚩Alipurduar 12 no Mandal it convener,24,Bijan Barman,31-Oct-2020 (04:28:11.000000),237,1263
2740,RajKuma76158529,1,None,None,15,Raj Kumar,16-Oct-2020 (03:28:24.000000),7179,5491
2741,camancher2012,0,Kuala Lumpur,Prophet Muhammad (peace be upon him)                                                                  Best Of Mankind  Role Model  Greatest Leader  Islam,807,Islam*Malaysia🇲🇾*3cats😻*AnwarIbrahimMYPM,28-Dec-2012 (13:57:54.000000),13367,34975
2742,RajaDeb63741396,1,Dainhat  India,জয় শ্রী রামDainhat nagor it inchargeকাটোয়া বিধানসভা,217,Raja Debnath,27-Jun-2020 (14:42:27.000000),609,830
2743,ritesh_brand,1,None,None,17,Brand Ritesh,16-Oct-2020 (04:51:09.000000),5267,6023
2744,Susmita16004674,1,None,BJP District Secretary                                      @burdwanpurbabjp,59,Susmita Malakar,20-Jul-2020 (12:57:28.000000),157,496
2745,serenityabounds,0,None,None,27,MJI,22-May-2013 (01:13:55.000000),7321,4537
2746,thebrajeshs,1,अखंड भारत,🇮🇳भारत मेरा देश  भारत मेरी शान।हर हर महादेव!!🚩वन्दे मातरम्🇮🇳अखंड भारत🇮🇳RT doesn't mean endorsement! Tweet’s in likes,9077,ब्रजेश (Bhakt_Of_Mahadev) 🇮🇳🚩,05-Jan-2017 (10:46:06.000000),26766,183331
2747,HaranSarkar6,1,None,General Secretary 37 NO ZP PURBA BARDHAMAN(Bharatiya Janata party)Nonarmath  NASARATPUR NADANGHAT  PURBA BARDHAMAN WEST BENGAL,13,Haran Sarkar,09-Aug-2020 (17:51:57.000000),24,481
2748,hallie1974,0,None,love working on my non profit  hanging out with friends  listening to (CY) Country music  and football season  go Horns and Cowboys!!,158,H,27-Oct-2010 (00:37:14.000000),8439,2897
2749,UshaRanjanKundu,1,Kolkata,None,24,USHA RANJAN KUNDU,12-Oct-2020 (06:04:53.000000),90,1920
2750,Riya76406598,1,India,None,61,Riya Dey Bairagya,29-Oct-2020 (11:00:56.000000),27,562
2751,souravb28004817,1,Bankura  India,I am a simple boy I like eating and traveling,8,sourav bairagya,06-Jun-2020 (02:05:50.000000),24,391
2752,BarunSimlai1,1,None,MahishadalBidhansabha,6,Barun Simlai,02-Nov-2020 (06:27:21.000000),0,279
2753,VishalS15588023,1,None,None,21,Vishal Singh,16-Oct-2020 (03:45:14.000000),5689,6506
2754,ninnitoivonen,0,Finland,27 | EMT 🚑 | UAS student | sports lover |,398,Ninni,20-Dec-2010 (18:59:25.000000),7283,14221
2755,RiyarashmiSing1,1,None,BJP Supporters 🙏 &social worker,20,Riya rashmi Singh,18-Oct-2020 (03:24:02.000000),4400,3987
2756,ursala_yacoob,0,Fullerton  CA,Educator  wife  mother,203,Ursala Yacoob,07-Dec-2016 (01:05:49.000000),52759,31902
2757,GunjanK39337075,1,None,None,4,Gunjan Kumar,15-Oct-2020 (02:44:34.000000),2185,2479
2758,RatanPa85629151,1,None,IT INCHARGE NAIHATI MONDAL 1,197,Ratan Pandit,09-Jun-2020 (21:08:39.000000),1518,2703
2759,DianaCo88057576,0,None,None,5,Diana Collins,30-Jul-2020 (00:36:34.000000),2281,2710
2760,SiriusMemoFx,0,Simi Valley  CA,HIGHRISK CryptTrader.. Rekts Lots.. Gets BIGONE Too.. NOT FINANCIAL ADVICE.. U Been Warned... Get In  Fasten Ur SeatBelts  Its Going To Be One Heck of a Ride 🏝,94,KrYpT0 SyRyuZ... 😷☣️☆,27-Nov-2013 (23:05:43.000000),47295,12443
2761,SUJITBASAK13,1,Bardhaman West Bengal  India,Mobile & Computer Hardware & Software,5,SUJIT BASAK,12-Sep-2016 (08:21:08.000000),29,131
2762,MicheleLReeves,0,Albuquerque  NM,#CDO proud to amplify and empower the voices of our  #HealthcareHeroes to #thrive through and beyond COVID-19 #inclusion #equity #courageOpinions my own.,363,Michele Lewis Reeves,07-Nov-2012 (05:03:14.000000),7745,2356
2763,BIMALGH62786438,1,None,None,16,BIMAL GHOSH,06-Aug-2020 (17:03:46.000000),1,925
2764,Abhi39923226,0,None,🥀🥀🌹💐,10,m kr,17-Oct-2020 (03:49:31.000000),5550,5432
2765,KatieGr10319138,0,None,Mom  wife  VOTER!,9,KatieSays#WearAMaskPlease,30-Mar-2020 (06:39:59.000000),643,719
2766,MINTUGH78500782,1,kankinara Kolkata,Jagaddal assembly Twitter in charge...Struggle is an important part of life to improve ourselves😎,35,MINTU GHOSH,01-Jul-2020 (04:04:11.000000),270,785
2767,SubirModak13,1,None,None,9,Subir Modak,02-Oct-2020 (07:13:49.000000),143,232
2768,nadrips,0,None,None,6,Dia Nadrips,30-Sep-2020 (16:03:35.000000),1229,295
2769,WellWeds,0,VOTE,Inspired by actor-activist @jenniferbeals' #WellnessWednesday🚂  @DrDinaGohar runs this& IG: WWTrain to provide research-based #Wellness info & support (NOT Tx),3544,Wellness Wednesday🚂ツ,17-Sep-2014 (15:14:16.000000),19982,28901
2770,SamarPa28749711,1,None,None,2,Samar Pal,24-Oct-2020 (13:59:27.000000),0,38
2771,Abhishe57078365,1,None,bjp,21,Abhishek Ranjan,17-Oct-2020 (03:47:23.000000),4095,5669
2772,PriyaRa55651615,1,None,None,15,Priya Raj,26-Oct-2020 (06:13:11.000000),2115,2446
2773,AshaSha79514786,1,Dankuni ,None,461,Asha Shaw,14-Jun-2020 (14:18:29.000000),886,10037
2774,MubarakKainat,0,None,An ebullient n spirited taurean Dr🌺,0,Kainat Mubarak,22-Mar-2020 (07:00:40.000000),4,1
2775,sdkingcaid3,0,None,wife  mom  grandmother. haven't met a cat or dog I haven't liked. books are my best friends.,21,sandy kingcaid,10-Oct-2014 (20:59:53.000000),89841,33649
2776,BuddhadebBann14,1,None,I am a simple person,0,Buddhadeb Bannerjee,03-Nov-2020 (06:44:11.000000),0,13
2777,dutta_susil,1,None,I Love my india,0,Susil Dutta,03-Nov-2020 (06:46:48.000000),0,32
2778,SwachhBharatGov,1,New Delhi  India,Official account of Swachh Bharat Mission (Urban) | #MyCleanIndia,225457,Swachh Bharat Urban,04-Dec-2015 (12:27:32.000000),8257,35751
2779,TjayJT,0,The Garden of England,*ALL* victims *all* perpsKnitting nannaFootball fans welcome unless you fit the negative stereotype. Follower of Chelsea⚽Enjoyer of cake and creativity.,2595,Jay-t,13-Mar-2012 (10:04:28.000000),174741,126227
2780,deydebu995,1,matiari 741153,Bharatiya Janata Party worker.IT cell co-in charge nadia uttar zila (krishnagar)(west bengali),432,choukidar debude,05-Jul-2014 (09:55:42.000000),8487,14023
2781,BjpCobDakshin,1,None,BJP COOCH BEHAR DAKSHIN ASSEMBLY,48,BJP COOCH BEHAR DAKSHIN,02-Oct-2020 (14:00:14.000000),78,1215
2782,BadhanDutta12,0,West Bengal India,BJP ITCELL,22,Badhan Dutta,03-Oct-2020 (07:36:48.000000),586,612
2783,TweetSumanGhosh,1,None,CSE & MBA (Marketing),57,Suman Ghosh,21-Feb-2020 (06:38:02.000000),8,4515
2784,candacefrancis,0,Columbus  OH,TRUMP Best President Ever,67,candace🇺🇸,03-Apr-2010 (03:52:06.000000),2283,2335
2785,Sudipkumarbhak3,1,पश्चिम बंगाल  भारत,None,56,Sudip kumar bhakat,31-Aug-2017 (16:06:06.000000),440,496
